index,ST57Q01_bk,count,lower_outliers,lower_quartile,lower_whisker,median,upper_outliers,upper_quartile,upper_whisker
"(-5.95, -4.573](-3.196, -1.819]","(15, 30]",5482.0,26.0,427.1771,222.3945,490.7384,4.0,565.2049,770.7665
"(-5.95, -4.573](-1.819, -0.441]","(0, 2]",85956.0,432.0,366.556325,167.6351,426.4761,30.0,499.3846,698.559
"(-5.95, -4.573](-1.819, -0.441]","(2, 4]",51273.0,181.0,392.9039,194.9759,455.842,38.0,525.1675,723.2513
"(-5.95, -4.573](-1.819, -0.441]","(4, 5]",22791.0,90.0,410.0405,225.3544,469.785,42.0,533.1905,717.6429
"(-5.95, -4.573](-1.819, -0.441]","(5, 7]",25982.0,94.0,423.1267,237.2722,483.1048,70.0,547.036125,732.6764
"(-5.95, -4.573](-1.819, -0.441]","(7, 8]",8864.0,31.0,427.8003,238.6742,490.1932,20.0,554.18285,741.79
"(-5.95, -4.573](-1.819, -0.441]","(8, 10]",16938.0,81.0,432.9413,247.1647,494.01,30.0,556.850725,742.4131
"(-5.95, -4.573](-1.819, -0.441]","(10, 12]",6790.0,25.0,440.2633,257.213,502.1109,23.0,567.308,756.7456
"(-5.95, -4.573](-1.819, -0.441]","(12, 15]",9569.0,48.0,446.6506,257.1351,507.3298,22.0,573.2279,762.7434
"(-5.95, -4.573](-1.819, -0.441]","(15, 30]",13410.0,49.0,453.0379,246.7752,518.157,27.0,591.357725,797.8735
"(-5.95, -4.573](-0.441, 0.936]","(0, 2]",96835.0,303.0,371.8726,161.6373,435.5897,24.0,512.3929,723.0955
"(-5.95, -4.573](-0.441, 0.936]","(2, 4]",60788.0,134.0,401.0048,194.119,467.0587,40.0,539.3441,746.6973
"(-5.95, -4.573](-0.441, 0.936]","(4, 5]",27567.0,98.0,418.453,228.0807,480.9238,49.0,545.4198,735.4806
"(-5.95, -4.573](-0.441, 0.936]","(5, 7]",31897.0,71.0,431.8508,240.9332,494.0879,81.0,559.207,750.0467
"(-5.95, -4.573](-0.441, 0.936]","(7, 8]",11050.0,26.0,437.9265,244.0489,501.52675,27.0,567.308,760.874
"(-5.95, -4.573](-0.441, 0.936]","(8, 10]",21204.0,73.0,442.6001,254.1751,505.2267,50.0,569.6448,759.7056
"(-5.95, -4.573](-0.441, 0.936]","(10, 12]",8513.0,19.0,449.6105,257.213,514.1845,23.0,578.6805,772.0907
"(-5.95, -4.573](-0.441, 0.936]","(12, 15]",11967.0,40.0,455.95885,264.3792,518.6244,31.0,583.97725,774.5833
"(-5.95, -4.573](-0.441, 0.936]","(15, 30]",16853.0,45.0,462.0735,256.434,527.9716,32.0,599.8676,804.105
"(-5.95, -4.573](0.936, 2.313]","(0, 2]",96941.0,299.0,371.8726,161.6373,435.5897,24.0,512.6266,723.5629
"(-5.95, -4.573](0.936, 2.313]","(2, 4]",60859.0,134.0,401.0827,194.119,467.2924,40.0,539.3441,746.6973
"(-5.95, -4.573](0.936, 2.313]","(4, 5]",27610.0,98.0,418.453,228.0807,480.9238,49.0,545.4198,735.4806
"(-5.95, -4.573](0.936, 2.313]","(5, 7]",31944.0,71.0,431.8508,240.9332,494.0879,81.0,559.207,750.0467
"(-5.95, -4.573](0.936, 2.313]","(7, 8]",11062.0,26.0,437.9265,244.0489,501.52675,27.0,567.308,760.874
"(-5.95, -4.573](0.936, 2.313]","(8, 10]",21252.0,73.0,442.658525,254.1751,505.3825,50.0,569.6448,759.7056
"(-5.95, -4.573](0.936, 2.313]","(10, 12]",8530.0,19.0,449.6884,257.213,514.30125,23.0,578.9142,772.0907
"(-5.95, -4.573](0.936, 2.313]","(12, 15]",11991.0,40.0,455.9978,264.3792,518.8581,31.0,584.2109,774.5833
"(-5.95, -4.573](0.936, 2.313]","(15, 30]",16888.0,45.0,462.0735,256.434,527.9716,32.0,599.8676,804.105
"(-5.95, -4.573](2.313, 3.69]","(0, 2]",1136.0,19.0,311.719125,185.5507,354.0349,2.0,397.5775,525.1675
"(-5.95, -4.573](2.313, 3.69]","(2, 4]",510.0,10.0,320.404275,203.7,362.79795,1.0,416.719925,560.4533
"(-5.95, -4.573](2.313, 3.69]","(4, 5]",179.0,1.0,332.92565,203.7778,371.0157,0.0,431.50025,573.4616
"(-5.95, -4.573](2.313, 3.69]","(5, 7]",147.0,3.0,337.4435,209.6978,378.4156,1.0,430.5655,548.6914
"(-5.95, -4.573](2.313, 3.69]","(7, 8]",52.0,1.0,362.73955,267.417,410.42995,2.0,455.725225,571.3585
"(-5.95, -4.573](2.313, 3.69]","(8, 10]",82.0,0.0,315.41905,228.8596,381.57035,0.0,436.835975,544.7188
"(-5.95, -4.573](2.313, 3.69]","(10, 12]",36.0,0.0,335.009325,199.5716,413.70155,0.0,500.689375,638.3471
"(-5.95, -4.573](2.313, 3.69]","(12, 15]",36.0,0.0,345.9145,216.0072,405.0553,0.0,480.2812,589.9751
"(-5.95, -4.573](2.313, 3.69]","(15, 30]",53.0,2.0,341.2603,222.3945,397.8891,0.0,444.3138,571.5921
"(-4.573, -3.196](-4.573, -3.196]","(0, 2]",12534.0,255.0,324.669,183.2918,369.49685,32.0,419.3099,560.9986
"(-4.573, -3.196](-4.573, -3.196]","(2, 4]",5905.0,101.0,343.9866,195.7548,390.5671,11.0,444.2359,594.1813
"(-4.573, -3.196](-4.573, -3.196]","(4, 5]",2161.0,30.0,359.2538,202.8431,408.3268,3.0,464.4103,618.7179
"(-4.573, -3.196](-4.573, -3.196]","(5, 7]",2271.0,31.0,367.4326,206.0368,420.0109,7.0,477.4965,640.6839
"(-4.573, -3.196](-4.573, -3.196]","(7, 8]",746.0,15.0,375.611475,224.9649,427.4887,5.0,480.74855,638.2692
"(-4.573, -3.196](-4.573, -3.196]","(8, 10]",1271.0,13.0,379.4672,215.2282,435.9012,2.0,490.9721,657.2753
"(-4.573, -3.196](-4.573, -3.196]","(10, 12]",475.0,3.0,377.98725,199.5716,429.5139,1.0,499.2678,680.0981
"(-4.573, -3.196](-4.573, -3.196]","(12, 15]",680.0,4.0,391.69655,215.6177,452.92105,3.0,515.099725,695.8327
"(-4.573, -3.196](-4.573, -3.196]","(15, 30]",890.0,3.0,388.444425,211.4114,446.88425,1.0,516.6771,705.102
"(-4.573, -3.196](-3.196, -1.819]","(0, 2]",47134.0,565.0,349.2834,176.2035,401.628,40.0,464.8777,638.1913
"(-4.573, -3.196](-3.196, -1.819]","(2, 4]",24975.0,216.0,371.7947,195.7548,426.3982,27.0,489.3363,665.1425
"(-4.573, -3.196](-3.196, -1.819]","(4, 5]",10699.0,80.0,390.0997,218.4998,444.7032,22.0,505.0709,676.8266
"(-4.573, -3.196](-3.196, -1.819]","(5, 7]",11571.0,74.0,399.9922,222.2387,457.5557,26.0,519.7149,699.1042
"(-4.573, -3.196](-3.196, -1.819]","(7, 8]",3776.0,22.0,404.4322,224.9649,461.91775,7.0,524.407975,703.6221
"(-4.573, -3.196](-3.196, -1.819]","(8, 10]",7177.0,60.0,409.8847,236.1816,466.6693,9.0,526.7253,701.1295
"(-4.573, -3.196](-3.196, -1.819]","(10, 12]",2797.0,19.0,414.8699,230.807,473.2902,7.0,538.6431,718.4998
"(-4.573, -3.196](-3.196, -1.819]","(12, 15]",3945.0,19.0,423.3603,242.5689,480.9238,9.0,545.8872,726.9902
"(-4.573, -3.196](-3.196, -1.819]","(15, 30]",5481.0,26.0,427.1771,222.3945,490.8163,4.0,565.2049,770.7665
"(-4.573, -3.196](-1.819, -0.441]","(0, 2]",85938.0,432.0,366.5758,167.6351,426.51505,29.0,499.443025,698.559
"(-4.573, -3.196](-1.819, -0.441]","(2, 4]",51269.0,181.0,392.9039,194.9759,455.842,38.0,525.1675,723.2513
"(-4.573, -3.196](-1.819, -0.441]","(4, 5]",22789.0,90.0,410.0405,225.3544,469.785,42.0,533.1905,717.6429
"(-4.573, -3.196](-1.819, -0.441]","(5, 7]",25980.0,94.0,423.1267,237.2722,483.1048,70.0,547.0556,732.6764
"(-4.573, -3.196](-1.819, -0.441]","(7, 8]",8863.0,31.0,427.8003,238.6742,490.1932,20.0,554.2218,741.79
"(-4.573, -3.196](-1.819, -0.441]","(8, 10]",16937.0,81.0,432.9413,247.1647,494.01,30.0,556.8702,742.4131
"(-4.573, -3.196](-1.819, -0.441]","(10, 12]",6790.0,25.0,440.2633,257.213,502.1109,23.0,567.308,756.7456
"(-4.573, -3.196](-1.819, -0.441]","(12, 15]",9569.0,48.0,446.6506,257.1351,507.3298,22.0,573.2279,762.7434
"(-4.573, -3.196](-1.819, -0.441]","(15, 30]",13409.0,49.0,453.0379,246.7752,518.157,27.0,591.3772,797.8735
"(-4.573, -3.196](-0.441, 0.936]","(0, 2]",96817.0,303.0,371.8726,161.6373,435.5897,23.0,512.3929,723.0955
"(-4.573, -3.196](-0.441, 0.936]","(2, 4]",60784.0,134.0,401.0048,194.119,467.1366,40.0,539.3441,746.6973
"(-4.573, -3.196](-0.441, 0.936]","(4, 5]",27565.0,98.0,418.453,228.0807,480.9238,49.0,545.4198,735.4806
"(-4.573, -3.196](-0.441, 0.936]","(5, 7]",31895.0,71.0,431.8508,240.9332,494.0879,81.0,559.207,750.0467
"(-4.573, -3.196](-0.441, 0.936]","(7, 8]",11049.0,26.0,437.9265,244.0489,501.5657,27.0,567.308,760.874
"(-4.573, -3.196](-0.441, 0.936]","(8, 10]",21203.0,73.0,442.6001,254.1751,505.2267,50.0,569.6448,759.7056
"(-4.573, -3.196](-0.441, 0.936]","(10, 12]",8513.0,19.0,449.6105,257.213,514.1845,23.0,578.6805,772.0907
"(-4.573, -3.196](-0.441, 0.936]","(12, 15]",11967.0,40.0,455.95885,264.3792,518.6244,31.0,583.97725,774.5833
"(-4.573, -3.196](-0.441, 0.936]","(15, 30]",16852.0,45.0,462.0735,256.434,527.9716,32.0,599.8676,804.105
"(-4.573, -3.196](0.936, 2.313]","(0, 2]",96923.0,299.0,371.8726,161.6373,435.5897,23.0,512.6266,723.5629
"(-4.573, -3.196](0.936, 2.313]","(2, 4]",60855.0,134.0,401.0827,194.119,467.2924,40.0,539.3441,746.6973
"(-4.573, -3.196](0.936, 2.313]","(4, 5]",27608.0,98.0,418.453,228.0807,480.9238,49.0,545.439275,735.4806
"(-4.573, -3.196](0.936, 2.313]","(5, 7]",31942.0,71.0,431.8508,240.9332,494.0879,81.0,559.207,750.0467
"(-4.573, -3.196](0.936, 2.313]","(7, 8]",11061.0,26.0,437.9265,244.0489,501.5657,27.0,567.308,760.874
"(-4.573, -3.196](0.936, 2.313]","(8, 10]",21251.0,73.0,442.678,254.1751,505.3825,50.0,569.6448,759.7056
"(-4.573, -3.196](0.936, 2.313]","(10, 12]",8530.0,19.0,449.6884,257.213,514.30125,23.0,578.9142,772.0907
"(-4.573, -3.196](0.936, 2.313]","(12, 15]",11991.0,40.0,455.9978,264.3792,518.8581,31.0,584.2109,774.5833
"(-4.573, -3.196](0.936, 2.313]","(15, 30]",16887.0,45.0,462.0735,256.434,527.9716,32.0,599.8676,804.105
"(-4.573, -3.196](2.313, 3.69]","(0, 2]",11398.0,234.0,325.9931,184.0707,371.4052,31.0,421.0235,563.4133
"(-4.573, -3.196](2.313, 3.69]","(2, 4]",5395.0,93.0,347.06345,199.5716,392.826,14.0,446.45585,595.5055
"(-4.573, -3.196](2.313, 3.69]","(4, 5]",1982.0,28.0,361.78535,207.0494,411.01415,4.0,466.88345,622.2231
"(-4.573, -3.196](2.313, 3.69]","(5, 7]",2124.0,31.0,371.658375,211.723,422.38665,7.0,479.30755,640.6839
"(-4.573, -3.196](2.313, 3.69]","(7, 8]",694.0,14.0,377.422475,224.9649,428.2676,3.0,482.5596,638.2692
"(-4.573, -3.196](2.313, 3.69]","(8, 10]",1189.0,12.0,383.8682,231.6638,439.4064,3.0,494.0879,659.2226
"(-4.573, -3.196](2.313, 3.69]","(10, 12]",439.0,6.0,382.19345,219.9797,435.2781,1.0,499.2678,674.8014
"(-4.573, -3.196](2.313, 3.69]","(12, 15]",644.0,4.0,393.897025,215.6177,454.401,3.0,516.793925,695.8327
"(-4.573, -3.196](2.313, 3.69]","(15, 30]",837.0,3.0,390.8786,211.4114,449.7663,1.0,519.7928,705.102
"(-3.196, -1.819](-3.196, -1.819]","(0, 2]",45998.0,531.0,350.6855,177.294,403.0301,43.0,466.4356,639.905
"(-3.196, -1.819](-3.196, -1.819]","(2, 4]",24465.0,213.0,373.4304,199.5716,427.4887,31.0,490.1932,665.1425
"(-3.196, -1.819](-3.196, -1.819]","(4, 5]",10520.0,80.0,391.2681,223.2513,445.7937,22.0,505.869275,676.8266
"(-3.196, -1.819](-3.196, -1.819]","(5, 7]",11424.0,74.0,401.374825,226.1334,458.5683,25.0,520.5717,699.1042
"(-3.196, -1.819](-3.196, -1.819]","(7, 8]",3724.0,22.0,405.3669,226.9902,462.89145,7.0,525.2454,703.6221
"(-3.196, -1.819](-3.196, -1.819]","(8, 10]",7095.0,60.0,410.85835,237.7395,467.4482,9.0,527.23165,701.1295
"(-3.196, -1.819](-3.196, -1.819]","(10, 12]",2761.0,19.0,415.6489,230.807,473.5239,6.0,538.9547,718.4998
"(-3.196, -1.819](-3.196, -1.819]","(12, 15]",3909.0,19.0,423.9835,242.5689,481.547,8.0,546.1209,726.9902
"(-3.196, -1.819](-3.196, -1.819]","(15, 30]",5428.0,26.0,428.5792,224.2639,491.7511,4.0,565.86695,770.7665
"(-3.196, -1.819](-1.819, -0.441]","(0, 2]",84802.0,427.0,367.8221,169.1151,427.8003,31.0,500.3194,698.9484
"(-3.196, -1.819](-1.819, -0.441]","(2, 4]",50759.0,177.0,393.9944,196.4558,456.6989,41.0,525.9464,723.8744
"(-3.196, -1.819](-1.819, -0.441]","(4, 5]",22610.0,88.0,410.8973,226.5228,470.2524,42.0,533.8916,718.344
"(-3.196, -1.819](-1.819, -0.441]","(5, 7]",25833.0,94.0,423.8277,238.5185,483.4164,70.0,547.4451,732.6764
"(-3.196, -1.819](-1.819, -0.441]","(7, 8]",8811.0,31.0,428.46235,240.2321,490.8942,19.0,554.5334,741.79
"(-3.196, -1.819](-1.819, -0.441]","(8, 10]",16855.0,81.0,433.4865,248.3331,494.2437,31.0,557.1039,742.4131
"(-3.196, -1.819](-1.819, -0.441]","(10, 12]",6754.0,25.0,440.5554,257.213,502.5783,22.0,567.4638,756.7456
"(-3.196, -1.819](-1.819, -0.441]","(12, 15]",9533.0,48.0,447.2737,260.3287,507.4856,22.0,573.4616,762.7434
"(-3.196, -1.819](-1.819, -0.441]","(15, 30]",13356.0,49.0,453.5831,246.7752,518.4686,25.0,591.4551,797.8735
"(-3.196, -1.819](-0.441, 0.936]","(0, 2]",95681.0,298.0,373.2747,163.0394,436.5244,23.0,513.4834,723.5629
"(-3.196, -1.819](-0.441, 0.936]","(2, 4]",60274.0,134.0,402.1732,195.7548,468.0714,42.0,540.0452,746.6973
"(-3.196, -1.819](-0.441, 0.936]","(4, 5]",27386.0,102.0,419.232,229.9501,481.6249,50.0,545.7314,734.7017
"(-3.196, -1.819](-0.441, 0.936]","(5, 7]",31748.0,72.0,432.5518,242.3353,494.5552,84.0,559.4407,749.5015
"(-3.196, -1.819](-0.441, 0.936]","(7, 8]",10997.0,26.0,438.0823,244.0489,501.8772,25.0,568.009,760.874
"(-3.196, -1.819](-0.441, 0.936]","(8, 10]",21121.0,73.0,443.1453,254.1751,505.694,47.0,569.8785,759.7056
"(-3.196, -1.819](-0.441, 0.936]","(10, 12]",8477.0,19.0,449.9221,257.213,514.4181,22.0,578.9142,772.0907
"(-3.196, -1.819](-0.441, 0.936]","(12, 15]",11931.0,40.0,456.3094,264.3792,518.936,30.0,584.3667,774.5833
"(-3.196, -1.819](-0.441, 0.936]","(15, 30]",16799.0,45.0,462.3851,256.434,528.3611,29.0,599.9455,804.105
"(-3.196, -1.819](0.936, 2.313]","(0, 2]",95787.0,293.0,373.2747,163.0394,436.6023,23.0,513.5613,723.8744
"(-3.196, -1.819](0.936, 2.313]","(2, 4]",60345.0,134.0,402.1732,195.7548,468.305,42.0,540.0452,746.6973
"(-3.196, -1.819](0.936, 2.313]","(4, 5]",27429.0,94.0,419.232,229.1712,481.7028,48.0,546.1209,736.4153
"(-3.196, -1.819](0.936, 2.313]","(5, 7]",31795.0,72.0,432.5518,242.3353,494.711,84.0,559.4407,749.5015
"(-3.196, -1.819](0.936, 2.313]","(7, 8]",11009.0,26.0,438.0823,244.0489,501.8772,25.0,567.9311,760.874
"(-3.196, -1.819](0.936, 2.313]","(8, 10]",21169.0,73.0,443.3011,254.1751,505.7719,47.0,570.0343,759.7056
"(-3.196, -1.819](0.936, 2.313]","(10, 12]",8494.0,19.0,450.0779,257.213,514.53495,22.0,578.9142,772.0907
"(-3.196, -1.819](0.936, 2.313]","(12, 15]",11955.0,40.0,456.3094,264.3792,518.936,30.0,584.3667,774.5833
"(-3.196, -1.819](0.936, 2.313]","(15, 30]",16834.0,45.0,462.65775,257.213,528.3611,30.0,599.9455,804.105
"(-3.196, -1.819](2.313, 3.69]","(0, 2]",34600.0,307.0,361.279,185.8623,415.3373,33.0,479.2102,656.1069
"(-3.196, -1.819](2.313, 3.69]","(2, 4]",19070.0,133.0,382.6219,205.8031,438.1601,21.0,500.90355,678.1508
"(-3.196, -1.819](2.313, 3.69]","(4, 5]",8538.0,55.0,399.7585,229.1712,453.0379,19.0,514.1845,685.7065
"(-3.196, -1.819](2.313, 3.69]","(5, 7]",9300.0,57.0,410.6637,235.4027,466.4356,24.0,527.5822,702.8431
"(-3.196, -1.819](2.313, 3.69]","(7, 8]",3030.0,12.0,412.163075,231.508,472.23865,4.0,533.8916,716.163
"(-3.196, -1.819](2.313, 3.69]","(8, 10]",5906.0,52.0,417.8299,247.1647,473.2123,6.0,532.586875,703.7
"(-3.196, -1.819](2.313, 3.69]","(10, 12]",2322.0,17.0,425.3077,245.7626,480.2228,5.0,546.1988,718.4998
"(-3.196, -1.819](2.313, 3.69]","(12, 15]",3265.0,19.0,429.5139,249.7352,486.9216,5.0,549.7819,726.9902
"(-3.196, -1.819](2.313, 3.69]","(15, 30]",4591.0,27.0,437.2254,240.0763,499.6962,7.0,570.4237,769.9096
"(-1.819, -0.441](-1.819, -0.441]","(0, 2]",73404.0,306.0,377.3251,178.2287,438.238,34.0,510.134,709.2304
"(-1.819, -0.441](-1.819, -0.441]","(2, 4]",45364.0,156.0,402.9522,208.9188,464.9556,50.0,532.4895,726.6007
"(-1.819, -0.441](-1.819, -0.441]","(4, 5]",20628.0,85.0,417.5962,236.649,476.4839,48.0,538.4094,718.4219
"(-1.819, -0.441](-1.819, -0.441]","(5, 7]",23709.0,90.0,430.1371,248.0994,488.7132,67.0,551.5735,733.1438
"(-1.819, -0.441](-1.819, -0.441]","(7, 8]",8117.0,26.0,434.4991,247.9436,495.6457,18.0,559.3628,746.5415
"(-1.819, -0.441](-1.819, -0.441]","(8, 10]",15666.0,82.0,438.1601,255.8888,498.6836,29.0,559.732825,741.8679
"(-1.819, -0.441](-1.819, -0.441]","(10, 12]",6315.0,23.0,445.7158,258.0698,508.0308,18.0,571.08585,758.8487
"(-1.819, -0.441](-1.819, -0.441]","(12, 15]",8889.0,48.0,451.4021,264.3792,511.1466,18.0,576.11,762.7434
"(-1.819, -0.441](-1.819, -0.441]","(15, 30]",12519.0,48.0,458.9578,256.434,522.8307,18.0,594.76555,797.8735
"(-1.819, -0.441](-0.441, 0.936]","(0, 2]",84283.0,221.0,382.8556,173.0877,447.4295,24.0,522.8307,732.5206
"(-1.819, -0.441](-0.441, 0.936]","(2, 4]",54879.0,122.0,411.131,208.6073,476.0944,52.0,546.2767,748.8783
"(-1.819, -0.441](-0.441, 0.936]","(4, 5]",25404.0,94.0,426.2424,240.8553,487.1553,63.0,550.34665,736.4153
"(-1.819, -0.441](-0.441, 0.936]","(5, 7]",29624.0,65.0,438.0823,250.4362,499.5404,85.0,563.3354,751.1372
"(-1.819, -0.441](-0.441, 0.936]","(7, 8]",10303.0,24.0,444.3916,253.3183,506.5509,26.0,571.9037,762.8992
"(-1.819, -0.441](-0.441, 0.936]","(8, 10]",19932.0,72.0,448.0527,261.575,509.5887,47.0,572.8384,759.7056
"(-1.819, -0.441](-0.441, 0.936]","(10, 12]",8038.0,20.0,455.160475,266.5602,518.4686,22.0,581.4847,770.6107
"(-1.819, -0.441](-0.441, 0.936]","(12, 15]",11287.0,40.0,461.2167,273.0254,522.0517,27.0,586.7035,774.5833
"(-1.819, -0.441](-0.441, 0.936]","(15, 30]",15962.0,44.0,466.9808,264.2234,532.3337,25.0,602.2823,804.105
"(-1.819, -0.441](0.936, 2.313]","(0, 2]",84389.0,222.0,382.9335,173.0877,447.4295,24.0,522.9086,732.5206
"(-1.819, -0.441](0.936, 2.313]","(2, 4]",54950.0,122.0,411.131,208.6073,476.1723,53.0,546.2767,748.8783
"(-1.819, -0.441](0.936, 2.313]","(4, 5]",25447.0,92.0,426.2424,240.8553,487.2332,63.0,550.5608,736.9606
"(-1.819, -0.441](0.936, 2.313]","(5, 7]",29671.0,68.0,438.19905,250.9815,499.5404,87.0,563.3354,750.0467
"(-1.819, -0.441](0.936, 2.313]","(7, 8]",10315.0,24.0,444.3916,253.3183,506.5509,26.0,571.8258,762.8992
"(-1.819, -0.441](0.936, 2.313]","(8, 10]",19980.0,72.0,448.0527,261.575,509.62765,47.0,572.9163,759.7056
"(-1.819, -0.441](0.936, 2.313]","(10, 12]",8055.0,20.0,455.2189,266.5602,518.7023,22.0,581.5236,770.6107
"(-1.819, -0.441](0.936, 2.313]","(12, 15]",11311.0,40.0,461.25565,273.6485,522.1296,28.0,586.7035,774.5833
"(-1.819, -0.441](0.936, 2.313]","(15, 30]",15997.0,44.0,467.0587,264.2234,532.4116,25.0,602.2823,804.105
"(-1.819, -0.441](2.313, 3.69]","(0, 2]",38804.0,81.0,396.7207,191.237,461.762,23.0,533.8137,739.3753
"(-1.819, -0.441](2.313, 3.69]","(2, 4]",26294.0,76.0,423.2045,232.7543,485.3638,51.0,550.9503,742.5689
"(-1.819, -0.441](2.313, 3.69]","(4, 5]",12090.0,44.0,433.4086,257.213,492.7637,40.0,553.345525,732.4427
"(-1.819, -0.441](2.313, 3.69]","(5, 7]",14409.0,42.0,443.4569,263.4445,503.1235,48.0,564.4259,744.9836
"(-1.819, -0.441](2.313, 3.69]","(7, 8]",5087.0,17.0,449.6884,266.2486,508.1866,11.0,572.64375,753.3962
"(-1.819, -0.441](2.313, 3.69]","(8, 10]",9760.0,46.0,454.3621,276.0632,513.98975,31.0,573.5395,751.8383
"(-1.819, -0.441](2.313, 3.69]","(10, 12]",3993.0,15.0,462.3072,283.7747,521.2728,16.0,581.952,761.2634
"(-1.819, -0.441](2.313, 3.69]","(12, 15]",5624.0,36.0,466.805625,287.5136,525.0117,19.0,586.956675,766.716
"(-1.819, -0.441](2.313, 3.69]","(15, 30]",7928.0,34.0,472.9787,279.8021,535.48835,19.0,604.697,801.7682
"(-0.441, 0.936](-0.441, 0.936]","(0, 2]",49683.0,67.0,405.2111,191.7043,473.5239,28.0,547.7567,761.2634
